parameter,chr,position,value,length,exons,fbgn,id,fbpp,state,recomb,type,breadth,normexp
dn,Chr2,20536552,0.2039,196,2,FBgn0147321,scaffold1:hit:31899,FBpp0173816,1,0,0,2,33.0564
dn,Chr2,18654053,0.2038,697,4,FBgn0147444,scaffold2.144,FBpp0173939,1,0,0,5,32.8714
dn,Chr2,14538129,0.2033,202,4,FBgn0132840,scaffold2.337,FBpp0159291,1,0,0,3,147.249
dn,Chr2,4083274,0.2023,160,2,FBgn0133473,scaffold_1_2.205,FBpp0159926,0,0,0,1,1.68388
dn,Chr2,33441498,0.1994,657,1,FBgn0146597,scaffold5.175,FBpp0173089,0,1,0,5,15.9999
dn,Chr2,9992637,0.198,320,1,FBgn0133109,scaffold1.1356,FBpp0159562,1,0,0,2,15.2639
dn,Chr2,6040083,0.1973,353,1,FBgn0133334,scaffold1.597,FBpp0159787,1,0,0,5,54.4658
dn,Chr2,22676290,0.1969,213,2,FBgn0147183,scaffold1.953,FBpp0173678,1,0,0,1,233.96
dn,Chr2,33284003,0.1945,158,2,FBgn0146427,scaffold5:hit:71541,FBpp0172919,0,1,0,5,67.0198
dn,Chr2,16775736,0.1944,550,4,FBgn0147543,scaffold8.142,FBpp0174039,1,0,0,5,206.062
dn,Chr2,4088719,0.1915,365,1,FBgn0133468,scaffold_1_2.209,FBpp0159921,0,0,0,2,20.9643
dn,Chr2,33291958,0.1911,295,3,FBgn0146609,scaffold5:hit:71662,FBpp0173101,0,1,0,3,67.7907
dn,Chr2,2146818,0.1911,918,6,FBgn0144684,scaffold_1_2.47,FBpp0171172,0,0,0,5,18.1454
dn,Chr2,34040389,0.19,500,1,FBgn0146545,scaffold296:hit:336898,FBpp0173037,0,1,0,5,214.794
dn,Chr2,10943565,0.1895,311,1,FBgn0133031,scaffold1.1466,FBpp0159483,1,0,0,2,27.2296
dn,Chr2,21213029,0.1894,484,8,FBgn0145770,scaffold1.1146,FBpp0172260,1,0,0,1,100.236
dn,Chr2,26858278,0.1891,342,1,FBgn0146956,scaffold1:hit:25311,FBpp0173450,1,0,0,2,6.50235
dn,Chr2,18698329,0.1873,446,1,FBgn0145623,scaffold2.159,FBpp0172113,1,0,0,3,20.6013
dn,Chr2,13831041,0.1849,119,1,FBgn0132863,scaffold2:hit:47085,FBpp0159314,1,0,0,1,8.65452
dn,Chr2,26469958,0.184,1576,9,FBgn0146061,scaffold1.126,FBpp0172551,1,0,0,4,8.0005
dn,Chr2,7322967,0.1839,113,1,FBgn0133271,scaffold1:hit:27549,FBpp0159724,1,0,0,3,3.07676
dn,Chr2,26461263,0.1834,292,4,FBgn0146059,scaffold1.122,FBpp0172549,1,0,0,4,8.0005
dn,Chr2,28874340,0.1824,251,2,FBgn0146836,scaffold2.121,FBpp0173330,1,0,0,2,32.7556
dn,Chr2,10486382,0.1824,781,3,FBgn0133060,scaffold1.1418,FBpp0159512,1,0,0,5,12.2629
dn,Chr2,21051935,0.1767,402,3,FBgn0147283,scaffold1.1118,FBpp0173778,1,0,0,0,0
dn,Chr2,17243328,0.1761,221,1,FBgn0147521,scaffold8.108,FBpp0174016,1,0,0,2,4.94109
dn,Chr2,30587958,0.1759,65,1,FBgn0139670,scaffold1:hit:33772,FBpp0166141,1,0,0,0,0
dn,Chr2,26003985,0.1752,863,5,FBgn0147019,scaffold1.58,FBpp0173513,1,0,0,1,3.42066
dn,Chr2,29016337,0.1728,429,4,FBgn0146825,scaffold2.137,FBpp0173319,1,0,0,3,49.9453
dn,Chr2,32403268,0.1726,364,3,FBgn0146652,scaffold5.89,FBpp0173144,0,1,0,3,44.1997
dn,Chr2,24034662,0.1725,483,1,FBgn0145912,scaffold1.330,FBpp0172402,1,0,0,5,119.957
dn,Chr2,22924137,0.1724,255,2,FBgn0145858,scaffold1:hit:25796,FBpp0172348,1,0,0,5,16.1464
dn,Chr2,27003879,0.1722,245,1,FBgn0146943,scaffold1.180,FBpp0173437,1,0,0,2,26.0169
dn,Chr2,11666532,0.172,258,2,FBgn0132990,scaffold52.5,FBpp0159442,1,0,0,2,23.5493
dn,Chr2,5758234,0.172,271,2,FBgn0144888,scaffold1.631,FBpp0171376,1,0,0,5,41.9622
dn,Chr2,17347112,0.1718,150,1,FBgn0147508,scaffold8.92,FBpp0174003,1,0,0,1,23.3094
dn,Chr2,10651971,0.169,137,1,FBgn0133050,scaffold1:hit:34565,FBpp0159502,1,0,0,3,184.161
dn,Chr2,4903686,0.1673,383,5,FBgn0133410,scaffold1.702,FBpp0159863,1,0,0,5,25.2236
dn,Chr2,25236871,0.1671,178,2,FBgn0147058,scaffold_1_2:hit:67312,FBpp0173552,1,0,0,3,11.2914
dn,Chr2,12968343,0.1666,242,4,FBgn0132932,scaffold2.489,FBpp0159383,1,0,0,2,37.2828
dn,Chr2,32374401,0.166,1358,3,FBgn0146386,scaffold5.79,FBpp0172877,0,1,0,4,16.3641
dn,Chr2,30585588,0.1652,107,1,FBgn0139669,scaffold1:hit:33775,FBpp0166140,1,0,0,0,0
dn,Chr2,3688082,0.1648,341,4,FBgn0133506,scaffold_1_2.154,FBpp0159959,0,0,0,2,23.3861
dn,Chr2,25922239,0.1643,245,4,FBgn0147028,scaffold1.34,FBpp0173522,1,0,0,1,169.485
dn,Chr2,29494359,0.1642,303,1,FBgn0146255,scaffold1.1251,FBpp0172746,1,0,0,2,11.1599
dn,Chr2,16757710,0.1632,837,2,FBgn0145521,scaffold8.143,FBpp0172011,1,0,0,5,45.3238
dn,Chr2,33064184,0.163,159,1,FBgn0146422,scaffold5:hit:71540,FBpp0172913,0,1,0,2,7.4087
dn,Chr2,25444500,0.1607,1197,5,FBgn0147049,scaffold_1_2.270,FBpp0173543,1,0,0,4,25.5825
dn,Chr2,30376347,0.1588,211,4,FBgn0146757,scaffold1.1314,FBpp0173251,1,0,0,5,10.8839
dn,Chr2,32465582,0.158,427,3,FBgn0146394,scaffold5.92,FBpp0172885,0,1,0,0,0
dn,Chr2,7465617,0.1573,77,1,FBgn0145003,scaffold1:hit:27141,FBpp0171492,1,0,0,5,15.6245
dn,Chr2,15820530,0.1571,256,1,FBgn0147571,scaffold200.1,FBpp0174068,1,0,0,1,19.2016
dn,Chr2,10027959,0.1565,160,1,FBgn0133102,scaffold1.1360,FBpp0159554,1,0,0,2,117.024
dn,Chr2,25951537,0.1559,126,1,FBgn0147026,scaffold1:hit:24390,FBpp0173520,1,0,0,2,42.5337
dn,Chr2,11375970,0.1554,219,3,FBgn0145241,scaffold52.37,FBpp0171730,1,0,0,0,0
dn,Chr2,20482435,0.1551,449,4,FBgn0147333,scaffold1.1048,FBpp0173828,1,0,0,5,11.1691
dn,Chr2,31598730,0.1547,520,5,FBgn0146353,scaffold5:hit:70879,FBpp0172844,0,1,0,5,15.9808
dn,Chr2,22604078,0.1543,292,2,FBgn0145829,scaffold1.929,FBpp0172319,1,0,0,5,7.25702
dn,Chr2,18628594,0.1541,360,7,FBgn0147454,scaffold1.1201,FBpp0173949,1,0,0,0,0
dn,Chr2,7210862,0.154,107,1,FBgn0144988,scaffold1.504,FBpp0171477,1,0,0,3,23.2264
dn,Chr2,8341392,0.1529,883,5,FBgn0145064,scaffold1.366,FBpp0171553,1,0,0,2,4.85072
dn,Chr2,10725089,0.1528,670,4,FBgn0133043,scaffold1.1441,FBpp0159495,1,0,0,1,149.315
dn,Chr2,32401540,0.1524,415,2,FBgn0146653,scaffold5.88,FBpp0173145,0,1,0,5,8.39084
dn,Chr2,14068704,0.1523,199,3,FBgn0145392,scaffold2:hit:47088,FBpp0171881,1,0,0,3,38.1217
dn,Chr2,24984639,0.151,437,3,FBgn0145956,scaffold1:hit:29613,FBpp0172446,1,0,0,5,5.57064
dn,Chr2,6279299,0.1498,2754,6,FBgn0144950,scaffold1.567,FBpp0171438,1,0,0,5,12.2061
dn,Chr2,7148366,0.1495,282,3,FBgn0144984,scaffold1.510,FBpp0171473,1,0,0,2,9.61855
dn,Chr2,17311165,0.1494,110,1,FBgn0145547,scaffold8:hit:89669,FBpp0172037,1,0,0,2,19.3238
dn,Chr2,34038610,0.1486,290,1,FBgn0146508,scaffold192:hit:330016,FBpp0173000,0,1,0,3,9.7681
dn,Chr2,7659989,0.1484,153,2,FBgn0133222,scaffold1.445,FBpp0159675,1,0,0,0,0
dn,Chr2,4427305,0.1474,147,1,FBgn0144819,scaffold1.742,FBpp0171307,1,0,0,0,0
dn,Chr2,22578688,0.1473,276,1,FBgn0139676,scaffold1:hit:30459,FBpp0166147,1,0,0,4,14.3243
dn,Chr2,4546728,0.1466,313,2,FBgn0133438,scaffold1.740,FBpp0159891,1,0,0,5,17.4843
dn,Chr2,25504947,0.1462,249,2,FBgn0145988,scaffold1.10,FBpp0172478,1,0,0,1,1003.92
dn,Chr2,17303752,0.1448,195,2,FBgn0147512,scaffold8.100,FBpp0174007,1,0,0,1,3.33664
dn,Chr2,4666327,0.1446,124,2,FBgn0133423,scaffold1.720,FBpp0159876,1,0,0,5,602.264
dn,Chr2,11669817,0.1445,261,2,FBgn0132988,scaffold52.4,FBpp0159440,1,0,0,3,22.9035
dn,Chr2,6181838,0.1444,285,5,FBgn0144942,scaffold1.579,FBpp0171430,1,0,0,5,30.7348
dn,Chr2,21059559,0.1441,404,4,FBgn0145764,scaffold1.1119,FBpp0172254,1,0,0,1,3.1657
dn,Chr2,33977831,0.1436,134,1,FBgn0146501,scaffold205.5,FBpp0172993,0,1,0,5,6.367
dn,Chr2,32690164,0.1429,71,2,FBgn0146405,scaffold5:hit:71349,FBpp0172896,0,1,0,2,6.04075
dn,Chr2,4082187,0.1428,563,2,FBgn0144784,scaffold_1_2.204,FBpp0171272,0,0,0,0,0
dn,Chr2,17295423,0.1423,614,2,FBgn0147513,scaffold8.101,FBpp0174008,1,0,0,0,0
dn,Chr2,31374698,0.1413,175,1,FBgn0146699,scaffold60_1.33,FBpp0173192,0,1,0,2,11.9446
dn,Chr2,34078936,0.141,820,1,FBgn0146516,scaffold368:hit:339078,FBpp0173008,0,1,0,5,25.4342
dn,Chr2,5968381,0.1407,88,2,FBgn0144907,scaffold1:hit:28259,FBpp0171395,1,0,0,3,25.4363
dn,Chr2,20158414,0.1405,578,1,FBgn0145688,scaffold1.1018,FBpp0172178,1,0,0,5,106.358
dn,Chr2,1415484,0.1405,128,4,FBgn0133615,scaffold_1_2.8,FBpp0160069,0,0,0,5,13.6805
dn,Chr2,12201787,0.1394,281,2,FBgn0132956,scaffold2.534,FBpp0159407,1,0,0,3,8.6954
dn,Chr2,24722155,0.1392,347,2,FBgn0147091,scaffold1.796,FBpp0173585,1,0,0,0,0
dn,Chr2,26791283,0.138,401,3,FBgn0146068,scaffold1.133,FBpp0172558,1,0,0,0,0
dn,Chr2,22679352,0.138,221,2,FBgn0147182,scaffold1.954,FBpp0173677,1,0,0,4,55.0853
dn,Chr2,14144827,0.1373,1726,3,FBgn0132853,scaffold2.359,FBpp0159304,1,0,0,5,14.0945
dn,Chr2,20459871,0.1368,307,4,FBgn0147337,scaffold1:hit:31810,FBpp0173832,1,0,0,5,3.88534
dn,Chr2,3770225,0.1364,430,2,FBgn0144762,scaffold_1_2.171,FBpp0171250,0,0,0,1,8.8773
dn,Chr2,26796060,0.1357,113,1,FBgn0146965,scaffold1.140,FBpp0173459,1,0,0,2,25.0546
dn,Chr2,17099291,0.1355,884,8,FBgn0147533,scaffold8.121,FBpp0174028,1,0,0,5,16.7733
dn,Chr2,23172961,0.1349,704,4,FBgn0147156,scaffold1.262,FBpp0173651,1,0,0,5,22.3226
dn,Chr2,20538355,0.1349,175,3,FBgn0147320,scaffold1.1067,FBpp0173815,1,0,0,4,6.58555
dn,Chr2,7648783,0.1337,629,1,FBgn0133226,scaffold1.450,FBpp0159679,1,0,0,0,0
dn,Chr2,20783440,0.133,369,2,FBgn0147297,scaffold1.1101,FBpp0173792,1,0,0,5,8.43
dn,Chr2,25008252,0.1326,190,4,FBgn0145959,scaffold1:hit:29634,FBpp0172449,1,0,0,4,28.9518
dn,Chr2,6044736,0.1323,155,1,FBgn0144926,scaffold1.596,FBpp0171414,1,0,0,2,150.232
dn,Chr2,18717997,0.1322,424,1,FBgn0147426,scaffold2.166,FBpp0173921,1,0,0,2,7.3565
dn,Chr2,16194047,0.1319,561,1,FBgn0147555,scaffold8.163,FBpp0174052,1,0,0,0,0
dn,Chr2,33848985,0.1311,88,1,FBgn0146571,scaffold5:hit:72047,FBpp0173063,0,1,0,2,9.04035
dn,Chr2,28812008,0.1309,217,1,FBgn0146838,scaffold2.118,FBpp0173332,1,0,0,2,10.297
dn,Chr2,28365957,0.1308,129,1,FBgn0146861,scaffold2:hit:44851,FBpp0173355,1,0,0,1,3.95844
dn,Chr2,32688877,0.1301,395,3,FBgn0146404,scaffold5.108,FBpp0172895,0,1,0,0,0
dn,Chr2,24773249,0.1295,151,4,FBgn0145945,scaffold1.788,FBpp0172435,1,0,0,1,3.45527
dn,Chr2,10261632,0.1292,335,2,FBgn0133091,scaffold1.1382,FBpp0159543,1,0,0,5,69.1564
dn,Chr2,32468321,0.1291,255,4,FBgn0146651,scaffold5.93,FBpp0173143,0,1,0,4,10.3383
dn,Chr2,2262977,0.1291,74,2,FBgn0133573,scaffold_1_2.51,FBpp0160027,0,0,0,5,621.684
dn,Chr2,7331315,0.1288,416,6,FBgn0133268,scaffold1.499,FBpp0159721,1,0,0,5,8.77898
dn,Chr2,26809249,0.1285,209,3,FBgn0146076,scaffold1:hit:25318,FBpp0172566,1,0,0,5,18.4628
dn,Chr2,10382983,0.1285,558,13,FBgn0145172,scaffold1.1399,FBpp0171661,1,0,0,3,24.3052
dn,Chr2,15793832,0.1271,174,1,FBgn0145491,scaffold200:hit:331218,FBpp0171981,1,0,0,0,0
dn,Chr2,32429514,0.127,290,4,FBgn0146391,scaffold5.90,FBpp0172882,0,1,0,3,27.4033
dn,Chr2,14477393,0.1269,319,3,FBgn0132843,scaffold2.342,FBpp0159294,1,0,0,2,5.6157
dn,Chr2,11406210,0.1263,1306,10,FBgn0145248,scaffold52.32,FBpp0171737,1,0,0,5,167.531
dn,Chr2,26169810,0.1261,569,3,FBgn0146998,scaffold1.88,FBpp0173492,1,0,0,2,35.0891
dn,Chr2,15428597,0.1248,607,3,FBgn0145465,scaffold2.44,FBpp0171955,1,0,0,5,82.0206
dn,Chr2,4143993,0.1242,389,4,FBgn0144788,scaffold_1_2.213,FBpp0171276,0,0,0,0,0
dn,Chr2,21159248,0.124,144,2,FBgn0147273,scaffold1.1131,FBpp0173768,1,0,0,1,77.5326
dn,Chr2,5717038,0.1236,293,6,FBgn0144884,scaffold1.636,FBpp0171372,1,0,0,5,60.5358
dn,Chr2,28798396,0.1227,579,8,FBgn0146843,scaffold2.114,FBpp0173337,1,0,0,2,23.1812
dn,Chr2,6217295,0.1222,836,2,FBgn0133323,scaffold1.576,FBpp0159776,1,0,0,5,19.7679
dn,Chr2,18700261,0.122,105,3,FBgn0147432,scaffold2:hit:45648,FBpp0173927,1,0,0,3,7.80887
dn,Chr2,19378188,0.1218,399,2,FBgn0145641,scaffold2.200,FBpp0172131,1,0,0,2,21.1434
dn,Chr2,18502525,0.1218,294,1,FBgn0145606,scaffold1.1194,FBpp0172096,1,0,0,1,1646.62
dn,Chr2,26042020,0.1207,687,4,FBgn0146033,scaffold1.72,FBpp0172523,1,0,0,5,28.4444
dn,Chr2,11964981,0.1205,380,3,FBgn0132963,scaffold2.543,FBpp0159414,1,0,0,3,18.7423
dn,Chr2,6548157,0.1205,423,7,FBgn0133309,scaffold1.554,FBpp0159762,1,0,0,0,0
dn,Chr2,21075359,0.1188,188,4,FBgn0147281,scaffold1.1122,FBpp0173776,1,0,0,4,148.168
dn,Chr2,19712459,0.1188,330,1,FBgn0147368,scaffold2:hit:46299,FBpp0173863,1,0,0,5,82.304
dn,Chr2,22588650,0.1187,219,2,FBgn0147202,scaffold1.918,FBpp0173697,1,0,0,3,48.335
dn,Chr2,9590219,0.1187,186,1,FBgn0145124,scaffold1:hit:32674,FBpp0171613,1,0,0,5,105.999
dn,Chr2,20082815,0.1184,101,2,FBgn0147357,scaffold2:hit:46382,FBpp0173852,1,0,0,5,75.219
dn,Chr2,23070935,0.1177,668,8,FBgn0145873,scaffold1.255,FBpp0172363,1,0,0,3,3.48667
dn,Chr2,25716445,0.1175,467,7,FBgn0145995,scaffold1.20,FBpp0172485,1,0,0,5,13.9567
dn,Chr2,20733044,0.117,445,5,FBgn0147304,scaffold1.1089,FBpp0173799,1,0,0,1,8.49242
dn,Chr2,17361587,0.1169,271,2,FBgn0147494,scaffold8:hit:89470,FBpp0173989,1,0,0,5,46.9704
dn,Chr2,9553419,0.1168,289,1,FBgn0145120,scaffold1.857,FBpp0171609,1,0,0,5,63.9778
dn,Chr2,6054420,0.1167,592,9,FBgn0144929,scaffold1.593,FBpp0171417,1,0,0,0,0
dn,Chr2,4038155,0.1165,286,3,FBgn0144779,scaffold_1_2.200,FBpp0171267,0,0,0,1,1.28851
dn,Chr2,13312063,0.1161,576,2,FBgn0145341,scaffold2.447,FBpp0171830,1,0,0,3,20.0176
dn,Chr2,2982648,0.1159,408,6,FBgn0133547,scaffold_1_2.98,FBpp0160001,0,0,0,5,16.7377
dn,Chr2,18703330,0.1156,621,5,FBgn0147431,scaffold2.161,FBpp0173926,1,0,0,5,10.2097
dn,Chr2,13026928,0.1153,218,3,FBgn0132929,scaffold2.485,FBpp0159380,1,0,0,5,297.472
dn,Chr2,13437909,0.1147,227,2,FBgn0145359,scaffold2.419,FBpp0171848,1,0,0,3,38.6793
dn,Chr2,23405940,0.1146,507,6,FBgn0145886,scaffold1.277,FBpp0172376,1,0,0,1,3.76793
dn,Chr2,30655784,0.1142,65,2,FBgn0146319,scaffold1:hit:33925,FBpp0172810,1,0,0,5,25.5762
dn,Chr2,29347062,0.1142,433,1,FBgn0146239,scaffold1.1224,FBpp0172730,1,0,0,5,46.184
dn,Chr2,17793085,0.114,741,3,FBgn0145577,scaffold8.47,FBpp0172067,1,0,0,5,30.3236
dn,Chr2,23303867,0.1126,478,1,FBgn0147153,scaffold676.1,FBpp0173647,1,0,0,2,9.95505
dn,Chr2,12978092,0.1122,227,4,FBgn0145316,scaffold2.488,FBpp0171805,1,0,0,3,43.2513
dn,Chr2,9161354,0.1122,328,1,FBgn0133144,scaffold1.834,FBpp0159597,1,0,0,3,3.4471
dn,Chr2,3018186,0.1119,66,1,FBgn0144719,scaffold_1_2:hit:65892,FBpp0171207,0,0,0,5,50.0144
dn,Chr2,33578640,0.1116,615,6,FBgn0146579,scaffold5.199,FBpp0173071,0,1,0,5,9.73086
dn,Chr2,28783411,0.1114,219,2,FBgn0146844,scaffold2.113,FBpp0173338,1,0,0,3,43.6443
dn,Chr2,22600033,0.1106,1461,9,FBgn0147196,scaffold1.927,FBpp0173691,1,0,0,5,10.2899
dn,Chr2,16787874,0.1104,88,1,FBgn0147538,scaffold8.132,FBpp0174034,1,0,0,0,0
dn,Chr2,30069524,0.1093,131,1,FBgn0146771,scaffold1.1297,FBpp0173265,1,0,0,0,0
dn,Chr2,26231165,0.1087,577,4,FBgn0146048,scaffold1.101,FBpp0172538,1,0,0,5,34.281
dn,Chr2,21618499,0.1083,105,2,FBgn0145785,scaffold1:hit:30336,FBpp0172275,1,0,0,4,6.98135
dn,Chr2,32539009,0.1077,923,9,FBgn0146647,scaffold5.99,FBpp0173139,0,1,0,1,4.23346
dn,Chr2,11960117,0.1073,472,2,FBgn0145282,scaffold2.545,FBpp0171771,1,0,0,4,10.758
dn,Chr2,29576145,0.1068,174,1,FBgn0146259,scaffold1.1256,FBpp0172750,1,0,0,0,0
dn,Chr2,23411667,0.1066,156,4,FBgn0147145,scaffold1.278,FBpp0173639,1,0,0,5,19.2176
dn,Chr2,13148127,0.1066,659,1,FBgn0145332,scaffold2.462,FBpp0171821,1,0,0,4,11.9301
dn,Chr2,11965973,0.1047,1772,9,FBgn0132962,scaffold2.542,FBpp0159413,1,0,0,5,41.988
dn,Chr2,9166453,0.1047,553,3,FBgn0145100,scaffold1.837,FBpp0171589,1,0,0,5,11.6194
dn,Chr2,11976228,0.1046,80,3,FBgn0132961,scaffold2:hit:48229,FBpp0159412,1,0,0,5,41.988
dn,Chr2,11115552,0.1044,765,3,FBgn0133024,scaffold1.1479,FBpp0159476,1,0,0,5,8.26836
dn,Chr2,27570039,0.1043,476,5,FBgn0146131,scaffold1.962,FBpp0172622,1,0,0,1,1.87931
dn,Chr2,3214451,0.1041,327,4,FBgn0133526,scaffold_1_2.124,FBpp0159980,0,0,0,5,13.7586
dn,Chr2,7030769,0.1037,1169,5,FBgn0144970,scaffold1.531,FBpp0171459,1,0,0,4,5.8606
dn,Chr2,14471990,0.1035,343,3,FBgn0132844,scaffold2.343,FBpp0159295,1,0,0,3,3.01126
dn,Chr2,33431953,0.1034,586,1,FBgn0146598,scaffold5.173,FBpp0173090,0,1,0,4,4.2011
dn,Chr2,15527662,0.1034,410,5,FBgn0147596,scaffold2.34,FBpp0174093,1,0,0,3,2.87568
dn,Chr2,28996942,0.1032,82,1,FBgn0146224,scaffold2:hit:45374,FBpp0172715,1,0,0,4,149.854
dn,Chr2,18473731,0.1031,284,1,FBgn0145605,scaffold1.1193,FBpp0172095,1,0,0,1,3300.39
